location,nearby-locations
100,"28.626164000000003-77.035561,28.636164-77.035561,28.646164000000002-77.035561,28.656164-77.035561,28.666164000000002-77.035561,28.676164-77.035561,28.686164-77.035561,28.696164000000003-77.035561,28.706164-77.035561,28.716164000000003-77.035561,28.726164-77.035561,28.736164000000002-77.035561,28.746164-77.035561,28.756164000000002-77.035561,28.766164-77.035561,28.776164-77.035561,28.786164000000003-77.035561,28.796164-77.035561,28.806164000000003-77.035561,28.816164-77.035561,28.826164000000002-77.035561,28.836164-77.035561,28.846164-77.035561,28.856164-77.035561,28.866164-77.035561,28.876164000000003-77.035561,28.886164-77.035561,28.896164000000002-77.035561,28.906164-77.035561,28.916164000000002-77.035561,28.926164-77.035561,28.936164-77.035561,28.946164000000003-77.035561,28.956164-77.035561,28.966164000000003-77.035561,28.976164-77.035561,28.986164000000002-77.035561,28.996164-77.035561,29.006164000000002-77.035561,29.016164-77.035561,29.026164-77.035561,29.036164000000003-77.035561,29.046164-77.035561,29.056164000000003-77.035561,29.066164-77.035561"
28.636164-77.035561,"28.636164-77.035561,28.626164000000003-77.035561,28.646164000000002-77.035561,28.656164-77.035561,28.666164000000002-77.035561,28.676164-77.035561,28.686164-77.035561,28.696164000000003-77.035561,28.706164-77.035561,28.716164000000003-77.035561,28.726164-77.035561,28.736164000000002-77.035561,28.746164-77.035561,28.756164000000002-77.035561,28.766164-77.035561,28.776164-77.035561,28.786164000000003-77.035561,28.796164-77.035561,28.806164000000003-77.035561,28.816164-77.035561,28.826164000000002-77.035561,28.836164-77.035561,28.846164-77.035561,28.856164-77.035561,28.866164-77.035561,28.876164000000003-77.035561,28.886164-77.035561,28.896164000000002-77.035561,28.906164-77.035561,28.916164000000002-77.035561,28.926164-77.035561,28.936164-77.035561,28.946164000000003-77.035561,28.956164-77.035561,28.966164000000003-77.035561,28.976164-77.035561,28.986164000000002-77.035561,28.996164-77.035561,29.006164000000002-77.035561,29.016164-77.035561,29.026164-77.035561,29.036164000000003-77.035561,29.046164-77.035561,29.056164000000003-77.035561,29.066164-77.035561,29.076164000000002-77.035561"
28.646164000000002-77.035561,"28.646164000000002-77.035561,28.656164-77.035561,28.636164-77.035561,28.626164000000003-77.035561,28.666164000000002-77.035561,28.676164-77.035561,28.686164-77.035561,28.696164000000003-77.035561,28.706164-77.035561,28.716164000000003-77.035561,28.726164-77.035561,28.736164000000002-77.035561,28.746164-77.035561,28.756164000000002-77.035561,28.766164-77.035561,28.776164-77.035561,28.786164000000003-77.035561,28.796164-77.035561,28.806164000000003-77.035561,28.816164-77.035561,28.826164000000002-77.035561,28.836164-77.035561,28.846164-77.035561,28.856164-77.035561,28.866164-77.035561,28.876164000000003-77.035561,28.886164-77.035561,28.896164000000002-77.035561,28.906164-77.035561,28.916164000000002-77.035561,28.926164-77.035561,28.936164-77.035561,28.946164000000003-77.035561,28.956164-77.035561,28.966164000000003-77.035561,28.976164-77.035561,28.986164000000002-77.035561,28.996164-77.035561,29.006164000000002-77.035561,29.016164-77.035561,29.026164-77.035561,29.036164000000003-77.035561,29.046164-77.035561,29.056164000000003-77.035561,29.066164-77.035561,29.076164000000002-77.035561,29.086164-77.035561"
28.656164-77.035561,"28.656164-77.035561,28.646164000000002-77.035561,28.666164000000002-77.035561,28.636164-77.035561,28.676164-77.035561,28.626164000000003-77.035561,28.686164-77.035561,28.696164000000003-77.035561,28.706164-77.035561,28.716164000000003-77.035561,28.726164-77.035561,28.736164000000002-77.035561,28.746164-77.035561,28.756164000000002-77.035561,28.766164-77.035561,28.776164-77.035561,28.786164000000003-77.035561,28.796164-77.035561,28.806164000000003-77.035561,28.816164-77.035561,28.826164000000002-77.035561,28.836164-77.035561,28.846164-77.035561,28.856164-77.035561,28.866164-77.035561,28.876164000000003-77.035561,28.886164-77.035561,28.896164000000002-77.035561,28.906164-77.035561,28.916164000000002-77.035561,28.926164-77.035561,28.936164-77.035561,28.946164000000003-77.035561,28.956164-77.035561,28.966164000000003-77.035561,28.976164-77.035561,28.986164000000002-77.035561,28.996164-77.035561,29.006164000000002-77.035561,29.016164-77.035561,29.026164-77.035561,29.036164000000003-77.035561,29.046164-77.035561,29.056164000000003-77.035561,29.066164-77.035561,29.076164000000002-77.035561,29.086164-77.035561,29.096164-77.035561"
28.666164000000002-77.035561,"28.666164000000002-77.035561,28.676164-77.035561,28.656164-77.035561,28.646164000000002-77.035561,28.686164-77.035561,28.636164-77.035561,28.696164000000003-77.035561,28.626164000000003-77.035561,28.706164-77.035561,28.716164000000003-77.035561,28.726164-77.035561,28.736164000000002-77.035561,28.746164-77.035561,28.756164000000002-77.035561,28.766164-77.035561,28.776164-77.035561,28.786164000000003-77.035561,28.796164-77.035561,28.806164000000003-77.035561,28.816164-77.035561,28.826164000000002-77.035561,28.836164-77.035561,28.846164-77.035561,28.856164-77.035561,28.866164-77.035561,28.876164000000003-77.035561,28.886164-77.035561,28.896164000000002-77.035561,28.906164-77.035561,28.916164000000002-77.035561,28.926164-77.035561,28.936164-77.035561,28.946164000000003-77.035561,28.956164-77.035561,28.966164000000003-77.035561,28.976164-77.035561,28.986164000000002-77.035561,28.996164-77.035561,29.006164000000002-77.035561,29.016164-77.035561,29.026164-77.035561,29.036164000000003-77.035561,29.046164-77.035561,29.056164000000003-77.035561,29.066164-77.035561,29.076164000000002-77.035561,29.086164-77.035561,29.096164-77.035561,29.106164-77.035561"
28.676164-77.035561,"28.676164-77.035561,28.666164000000002-77.035561,28.686164-77.035561,28.656164-77.035561,28.696164000000003-77.035561,28.646164000000002-77.035561,28.706164-77.035561,28.636164-77.035561,28.716164000000003-77.035561,28.626164000000003-77.035561,28.726164-77.035561,28.736164000000002-77.035561,28.746164-77.035561,28.756164000000002-77.035561,28.766164-77.035561,28.776164-77.035561,28.786164000000003-77.035561,28.796164-77.035561,28.806164000000003-77.035561,28.816164-77.035561,28.826164000000002-77.035561,28.836164-77.035561,28.846164-77.035561,28.856164-77.035561,28.866164-77.035561,28.876164000000003-77.035561,28.886164-77.035561,28.896164000000002-77.035561,28.906164-77.035561,28.916164000000002-77.035561,28.926164-77.035561,28.936164-77.035561,28.946164000000003-77.035561,28.956164-77.035561,28.966164000000003-77.035561,28.976164-77.035561,28.986164000000002-77.035561,28.996164-77.035561,29.006164000000002-77.035561,29.016164-77.035561,29.026164-77.035561,29.036164000000003-77.035561,29.046164-77.035561,29.056164000000003-77.035561,29.066164-77.035561,29.076164000000002-77.035561,29.086164-77.035561,29.096164-77.035561,29.106164-77.035561,29.116164-77.035561"
28.686164-77.035561,"28.686164-77.035561,28.676164-77.035561,28.696164000000003-77.035561,28.666164000000002-77.035561,28.706164-77.035561,28.656164-77.035561,28.716164000000003-77.035561,28.646164000000002-77.035561,28.726164-77.035561,28.636164-77.035561,28.736164000000002-77.035561,28.626164000000003-77.035561,28.746164-77.035561,28.756164000000002-77.035561,28.766164-77.035561,28.776164-77.035561,28.786164000000003-77.035561,28.796164-77.035561,28.806164000000003-77.035561,28.816164-77.035561,28.826164000000002-77.035561,28.836164-77.035561,28.846164-77.035561,28.856164-77.035561,28.866164-77.035561,28.876164000000003-77.035561,28.886164-77.035561,28.896164000000002-77.035561,28.906164-77.035561,28.916164000000002-77.035561,28.926164-77.035561,28.936164-77.035561,28.946164000000003-77.035561,28.956164-77.035561,28.966164000000003-77.035561,28.976164-77.035561,28.986164000000002-77.035561,28.996164-77.035561,29.006164000000002-77.035561,29.016164-77.035561,29.026164-77.035561,29.036164000000003-77.035561,29.046164-77.035561,29.056164000000003-77.035561,29.066164-77.035561,29.076164000000002-77.035561,29.086164-77.035561,29.096164-77.035561,29.106164-77.035561,29.116164-77.035561,29.126164000000003-77.035561"
28.696164000000003-77.035561,"28.696164000000003-77.035561,28.706164-77.035561,28.686164-77.035561,28.716164000000003-77.035561,28.676164-77.035561,28.726164-77.035561,28.666164000000002-77.035561,28.736164000000002-77.035561,28.656164-77.035561,28.746164-77.035561,28.646164000000002-77.035561,28.756164000000002-77.035561,28.636164-77.035561,28.766164-77.035561,28.626164000000003-77.035561,28.776164-77.035561,28.786164000000003-77.035561,28.796164-77.035561,28.806164000000003-77.035561,28.816164-77.035561,28.826164000000002-77.035561,28.836164-77.035561,28.846164-77.035561,28.856164-77.035561,28.866164-77.035561,28.876164000000003-77.035561,28.886164-77.035561,28.896164000000002-77.035561,28.906164-77.035561,28.916164000000002-77.035561,28.926164-77.035561,28.936164-77.035561,28.946164000000003-77.035561,28.956164-77.035561,28.966164000000003-77.035561,28.976164-77.035561,28.986164000000002-77.035561,28.996164-77.035561,29.006164000000002-77.035561,29.016164-77.035561,29.026164-77.035561,29.036164000000003-77.035561,29.046164-77.035561,29.056164000000003-77.035561,29.066164-77.035561,29.076164000000002-77.035561,29.086164-77.035561,29.096164-77.035561,29.106164-77.035561,29.116164-77.035561,29.126164000000003-77.035561,29.136164-77.035561"
28.706164-77.035561,"28.706164-77.035561,28.696164000000003-77.035561,28.716164000000003-77.035561,28.686164-77.035561,28.726164-77.035561,28.676164-77.035561,28.736164000000002-77.035561,28.746164-77.035561,28.666164000000002-77.035561,28.656164-77.035561,28.756164000000002-77.035561,28.646164000000002-77.035561,28.766164-77.035561,28.636164-77.035561,28.776164-77.035561,28.626164000000003-77.035561,28.786164000000003-77.035561,28.796164-77.035561,28.806164000000003-77.035561,28.816164-77.035561,28.826164000000002-77.035561,28.836164-77.035561,28.846164-77.035561,28.856164-77.035561,28.866164-77.035561,28.876164000000003-77.035561,28.886164-77.035561,28.896164000000002-77.035561,28.906164-77.035561,28.916164000000002-77.035561,28.926164-77.035561,28.936164-77.035561,28.946164000000003-77.035561,28.956164-77.035561,28.966164000000003-77.035561,28.976164-77.035561,28.986164000000002-77.035561,28.996164-77.035561,29.006164000000002-77.035561,29.016164-77.035561,29.026164-77.035561,29.036164000000003-77.035561,29.046164-77.035561,29.056164000000003-77.035561,29.066164-77.035561,29.076164000000002-77.035561,29.086164-77.035561,29.096164-77.035561,29.106164-77.035561,29.116164-77.035561,29.126164000000003-77.035561,29.136164-77.035561,29.146164000000002-77.035561"
28.716164000000003-77.035561,"28.716164000000003-77.035561,28.726164-77.035561,28.706164-77.035561,28.736164000000002-77.035561,28.696164000000003-77.035561,28.746164-77.035561,28.686164-77.035561,28.756164000000002-77.035561,28.676164-77.035561,28.766164-77.035561,28.666164000000002-77.035561,28.776164-77.035561,28.656164-77.035561,28.786164000000003-77.035561,28.646164000000002-77.035561,28.796164-77.035561,28.636164-77.035561,28.806164000000003-77.035561,28.626164000000003-77.035561,28.816164-77.035561,28.826164000000002-77.035561,28.836164-77.035561,28.846164-77.035561,28.856164-77.035561,28.866164-77.035561,28.876164000000003-77.035561,28.886164-77.035561,28.896164000000002-77.035561,28.906164-77.035561,28.916164000000002-77.035561,28.926164-77.035561,28.936164-77.035561,28.946164000000003-77.035561,28.956164-77.035561,28.966164000000003-77.035561,28.976164-77.035561,28.986164000000002-77.035561,28.996164-77.035561,29.006164000000002-77.035561,29.016164-77.035561,29.026164-77.035561,29.036164000000003-77.035561,29.046164-77.035561,29.056164000000003-77.035561,29.066164-77.035561,29.076164000000002-77.035561,29.086164-77.035561,29.096164-77.035561,29.106164-77.035561,29.116164-77.035561,29.126164000000003-77.035561,29.136164-77.035561,29.146164000000002-77.035561,29.156164-77.035561"
